数据统计时间 Wed Jul 27 17:39:04 2022
组别名称 dict_keys(['本科生 创意1组', '本科生 创意2组', '本科生 创意3组', '本科生 创意4组', '本科生 创意5组', '本科生 创意6组'])
平均分 82.30958158995816
8个组平均分 [81.88575, 82.69075000000001, 80.91474999999998, 82.2315, 83.458, 82.68615384615386]
总队数 239 [40, 40, 40, 40, 40, 39]
计算规则：最终成绩 = 专家评审平均分数 * （全部参赛项目平均分数 / 项目所在组平均分数）
+------+-------------------------------------------------------------------------------+-------------------------------------+-----------+----------------+-------------------+---------+
| Star |                                      name                                     |              score_list             | ave_score |     group      |    final_score    | ranking |
|      |                              助力出行——智安爬行椅                             | [87.78, 86.85, 85.98, 81.87, 79.39] |   84.37   | 本科生 创意3组 |  85.8243941771404 |  32/239 |
|      |              通古今之音，见流彩敦煌：敦煌壁画数字文创产品设计研发             |  [89.91, 89.21, 85.47, 85.2, 84.95] |   86.95   | 本科生 创意5组 | 85.75353014985815 |  33/239 |
|      |                     面向助老康复的柔性步行辅助外骨骼机器人                    |  [91.3, 87.25, 86.85, 86.23, 83.1]  |   86.95   | 本科生 创意5组 | 85.75353014985815 |  34/239 |
|      |                         核安——HPV居家检测 守护宫颈健康                        | [89.42, 87.77, 87.66, 81.63, 81.55] |   85.61   | 本科生 创意4组 |  85.6912895899542 |  35/239 |
|      |                      "源“来如此：智能全自动一体化雨水净化                     |  [89.31, 86.5, 86.0, 85.18, 83.11]  |   86.02   | 本科生 创意2组 | 85.62348519475516 |  36/239 |
|      |                        "机"破障碍，为航空发动机保驾护航                       |  [88.6, 86.99, 85.8, 84.45, 83.86]  |   85.94   | 本科生 创意6组 | 85.54860896060454 |  37/239 |
|      |              潮生基因——RNA高纯提取与室温保存试剂盒（四相纯化法）              |  [88.32, 85.9, 85.57, 83.76, 81.06] |   84.92   | 本科生 创意1组 | 85.35953653253767 |  38/239 |
|      |                       识易科技——一站式隐私信息识别领航者                      |  [86.7, 85.26, 84.13, 83.78, 83.14] |    84.6   | 本科生 创意1组 |  85.037880247912  |  39/239 |
|      |                   汽车的”救生圈“-VADA车辆落水防沉隐藏式气囊                   | [87.98, 83.76, 83.25, 82.17, 80.26] |   83.48   | 本科生 创意3组 | 84.91905210273416 |  40/239 |
|      |                    ”荧“刃而解-荧光变色油墨的研发及制造业化                    | [86.78, 85.19, 84.33, 80.49, 80.42] |   83.44   | 本科生 创意3组 | 84.87836257130016 |  41/239 |
|      |               白杨碳管理—数智赋能个人碳足迹管理平台的搭建与运营               | [86.67, 86.55, 85.55, 83.59, 81.45] |   84.76   | 本科生 创意4组 | 84.84048248621093 |  42/239 |
|      |                            汽车外部SRS主动防撞装置                            | [91.36, 87.66, 83.56, 82.58, 78.55] |   84.74   | 本科生 创意4组 | 84.82046349553461 |  43/239 |
|      |                          护康科技——双臂护理移乘机器人                         | [86.78, 83.88, 82.68, 82.14, 81.35] |   83.37   | 本科生 创意3组 | 84.80715589129069 |  44/239 |
|      |                  贯贝科技-新型高效MILD燃烧技术与装备的拓荒者                  |  [89.2, 84.6, 84.56, 83.65, 83.58]  |   85.12   | 本科生 创意6组 | 84.73234343410122 |  45/239 |
|      |                           智能模块化胶囊内窥镜机器人                          | [85.76, 84.57, 83.33, 82.53, 80.23] |   83.28   | 本科生 创意3组 | 84.71560444556421 |  46/239 |
|     |                        TickTest生物——一站式智能检疫平台                       |  [85.24, 84.35, 84.2, 83.96, 83.46] |   84.24   | 本科生 创意1组 | 84.67601692770812 |  47/239 |
|      |                        水产C.A智能养殖船与数值分析平台                        |  [91.2, 85.65, 83.56, 82.68, 82.1]  |   85.04   | 本科生 创意6组 | 84.65270777297896 |  48/239 |
|      |                   峰和新材 — 生物基复合水凝胶二氧化碳吸附剂                   | [90.14, 85.33, 83.33, 81.88, 81.55] |   84.45   | 本科生 创意4组 | 84.53018813072809 |  49/239 |
|      |                  “箱”见恨晚--基于边缘计算和自动牵引的AI导盲箱                 |  [86.53, 86.1, 84.11, 83.25, 80.27] |   84.05   | 本科生 创意1组 | 84.48503350871162 |  50/239 |
|      |                        ”攀登者“--攀爬式高空作业机体平台                       |  [84.76, 84.02, 83.25, 82.45, 80.4] |   82.98   | 本科生 创意3组 |  84.4104329598093 |  51/239 |
