数据统计时间 Thu Jul 28 20:11:33 2022
组别名称 dict_keys(['本科生 创意1组', '本科生 创意2组', '研究生创意 本研初创组', '红旅'])
平均分 85.37117647058825
8个组平均分 [84.26305555555558, 84.20638888888891, 87.985, 86.46555555555554]
总队数 119 [36, 36, 20, 27]
计算规则：最终成绩 = 专家评审平均分数 * （全部参赛项目平均分数 / 项目所在组平均分数）
+------+--------------------------------------------------------------+-------------------------------------+-----------+-----------------------+-------------------+---------+
| Star |                             name                             |              score_list             | ave_score |         group         |    final_score    | ranking |
|      |               “智”引者-便携式飞机助推牵引装备                |  [88.55, 87.96, 86.45, 82.13, 82.0] |   85.42   |     本科生 创意2组    | 86.60157489641367 |  33/119 |
|     |                    5G毫米波双频收发机芯片                    |  [96.68, 91.17, 88.77, 87.96, 81.0] |   89.12   | 研究生创意 本研初创组 | 86.47245834015827 |  34/119 |
|      |         ARK智慧医疗舱——开启装配式智慧方舱医院新时代          |  [88.0, 85.34, 84.69, 84.55, 83.46] |   85.21   |     本科生 创意2组    | 86.38867006466177 |  35/119 |
|      |   “彩迁”科技——国内首个高效无标记的细胞病理切片虚拟染色平台   |  [88.23, 85.11, 84.67, 84.45, 83.5] |   85.19   |     本科生 创意1组    | 86.31031091359361 |  36/119 |
|      |           氯之家——国内首创二氧化氯两步缓释消毒技术           |  [94.18, 91.0, 89.24, 85.78, 83.98] |   88.84   | 研究生创意 本研初创组 | 86.20077646925114 |  37/119 |
|      |                  “随耕大漠”智能一体化植树车                  |  [89.87, 86.36, 84.62, 83.23, 81.0] |   85.02   |     本科生 创意2组    | 86.19604188355291 |  38/119 |
|      |         黔程无忧——扶智教育助力乡村旅游的智慧发展之路         | [92.32, 89.88, 89.85, 82.37, 81.62] |   87.21   |          红旅         | 86.10619861473421 |  39/119 |
|      |            BioniCare——仿生学创新脓毒症药物引领者             |  [95.16, 90.54, 88.57, 86.33, 83.0] |   88.72   | 研究生创意 本研初创组 |  86.0843413817195 |  40/119 |
|      |          Mars-α：面向膜乳化领域全流程解决方案提供商          |  [92.2, 85.36, 84.39, 82.11, 80.23] |   84.86   |     本科生 创意1组    | 85.97597117182244 |  41/119 |
|      |          癌泌获——国际领先的癌症早诊外泌体捕获试剂盒          |  [87.71, 86.4, 85.62, 83.22, 81.11] |   84.81   |     本科生 创意1组    | 85.92531363519045 |  42/119 |
|      |        无限深蓝——面向国家海洋开发战略的虾产品深度开发        |  [87.2, 86.52, 84.11, 83.56, 82.56] |   84.79   |     本科生 创意1组    | 85.90505062053765 |  43/119 |
|      |          搭桥“嵌纤”-新型碳纤维复合材料桥梁结构加固           |  [86.12, 86.11, 85.6, 84.25, 81.34] |   84.68   |     本科生 创意1组    | 85.79360403994727 |  44/119 |
|      |     "盒"你一起收纳新鲜——聚乳酸基植物纤维：物流绿色化发展     |  [90.45, 86.66, 85.47, 81.44, 79.0] |    84.6   |     本科生 创意2组    | 85.77023222004911 |  45/119 |
|      |         柚爱智邻——打造社区居家养老健康管理服务生态圈         | [89.59, 88.47, 88.21, 85.67, 82.31] |   86.85   |          红旅         | 85.75075507040096 |  46/119 |
|      |             六尺小花·一茶传世——有故事的小袋绿茶              | [90.01, 89.12, 85.88, 85.55, 83.64] |   86.84   |          红旅         | 85.74088163861391 |  47/119 |
|     |        “醇风致远”一种提升电动汽车冬季续航的热管理技术        |  [86.15, 85.78, 84.5, 84.11, 82.52] |   84.61   |     本科生 创意1组    | 85.72268348866245 |  48/119 |
|      |              “膜”王--细菌纤维素原材料行业开拓者              |  [91.18, 88.34, 88.12, 87.0, 86.95] |   88.32   | 研究生创意 本研初创组 | 85.69622442328073 |  49/119 |
|      |                   “同舟”罕见病多方互助中心                   |  [90.11, 87.25, 86.7, 85.25, 84.05] |   86.67   |          红旅         | 85.57303329823432 |  50/119 |
|      |                      AIE柔性纱线传感器                       |  [86.45, 86.0, 83.95, 83.78, 81.55] |   84.35   |     本科生 创意2组    | 85.51677408701114 |  51/119 |
|     |                  淀粉基凝胶食品增韧的革命者                  |  [86.24, 84.77, 83.96, 83.55, 83.0] |    84.3   |     本科生 创意2组    | 85.46608246040356 |  52/119 |
|      |                 山也市集--绿色生活的市井长巷                 |  [88.88, 88.79, 87.2, 84.23, 83.56] |   86.53   |          红旅         | 85.43480525321583 |  53/119 |
|      |                  大展宏图：公益领域的破壁者                  | [89.67, 88.12, 86.12, 86.02, 82.47] |   86.48   |          红旅         | 85.38543809428066 |  54/119 |
|      |                  iPrawn——对虾智慧养殖引领者                  |  [87.6, 86.21, 85.11, 81.23, 80.97] |   84.22   |     本科生 创意1组    |  85.3275547029329 |  55/119 |
|      |                   汽车外部SRS主动防撞装置                    |  [87.6, 84.32, 84.11, 82.81, 82.11] |   84.19   |     本科生 创意1组    |  85.2971601809537 |  56/119 |
|      |        归根乡村-中药质量快速智能评价体系助力乡村振兴         | [87.21, 87.11, 86.88, 85.79, 84.24] |   86.25   |          红旅         | 85.15834916317884 |  57/119 |
|      |              奥图智冷—自动化冷库综合服务提供商               |  [87.11, 84.5, 84.12, 83.13, 81.33] |   84.04   |     本科生 创意1组    | 85.14518757105772 |  58/119 |
|     |          智医“神工”—全球首款人工神经康复机器人系统           |  [91.28, 91.25, 86.87, 86.0, 83.36] |   87.75   | 研究生创意 本研初创组 | 85.14315775750548 |  59/119 |
|      |       生物制造之“芯”-跨时代的高性能生物催化剂的开创者        |  [89.25, 88.98, 88.66, 87.35, 84.0] |   87.65   | 研究生创意 本研初创组 |  85.0461285178958 |  60/119 |
|      |                 慧眼视疑—制造业质量检测先锋                  |  [85.42, 85.13, 83.59, 83.11, 82.4] |   83.93   |     本科生 创意1组    | 85.03374099046732 |  61/119 |
|      |                工业大脑--工业机器人边缘控制器                |  [90.26, 88.95, 88.0, 85.68, 84.57] |   87.49   | 研究生创意 本研初创组 | 84.89088173452026 |  62/119 |
|      |               "机"破障碍，为航空发动机保驾护航               |  [88.11, 83.65, 83.43, 83.23, 80.5] |   83.78   |     本科生 创意1组    | 84.88176838057134 |  63/119 |
|      |      晶体温度传感—复杂温度场无源分布式温度测量的引领者       |  [91.88, 88.57, 88.25, 87.63, 81.0] |   87.47   | 研究生创意 本研初创组 | 84.87147588659833 |  64/119 |
|      |                           蜂颖硕果                           | [87.77, 87.41, 85.09, 84.93, 84.55] |   85.95   |          红旅         | 84.86214620956778 |  65/119 |
|      |                      确山提琴，坚守有声                      | [88.32, 88.02, 86.98, 84.98, 81.42] |   85.94   |          红旅         | 84.85227277778074 |  66/119 |
|      |       “牦”尽其用，助“牧”青海——基于青海牦牛的全产业规划       | [88.53, 86.91, 86.71, 84.42, 82.75] |   85.86   |          红旅         | 84.77328532348447 |  67/119 |
|      |        和碳安粮——全球首创生物技术助力双碳及荒漠化治理        | [90.21, 85.12, 85.03, 85.01, 83.65] |    85.8   |          红旅         | 84.71404473276225 |  68/119 |
|      |         和虾——精准绘制对虾服务网，科技助力养殖产业链         |  [85.0, 84.63, 84.32, 82.55, 81.22] |   83.54   |     本科生 创意2组    | 84.69556973596814 |  69/119 |
|     |               Z.U.E.S: 应急响应无人机蜂群系统                |  [85.3, 85.12, 84.65, 84.42, 78.11] |   83.52   |     本科生 创意1组    | 84.61834919008496 |  70/119 |
|      |         薪火相传，青少年公益科普教育助力乡村文化振兴         |  [87.9, 86.85, 85.16, 84.75, 83.52] |   85.64   |          红旅         |  84.5560698241697 |  71/119 |
|      |               油霸—油水分离“膜”法迭代的引领者                |  [85.31, 85.26, 83.45, 82.55, 80.0] |   83.31   |     本科生 创意2组    |  84.4623882535732 |  72/119 |
|      |          时阳生物-西部原生植物护肤品创新原料开拓者           | [86.78, 85.49, 85.23, 85.21, 84.84] |   85.51   |          红旅         | 84.42771521093825 |  73/119 |
|      |            面向助老康复的柔性步行辅助外骨骼机器人            |  [85.11, 84.3, 83.66, 82.23, 81.34] |   83.33   |     本科生 创意1组    | 84.42585055088337 |  74/119 |
|      |      白杨碳管理—数智赋能个人碳足迹管理平台的搭建与运营       |  [87.2, 83.65, 83.12, 82.56, 80.11] |   83.33   |     本科生 创意1组    | 84.42585055088337 |  75/119 |
|      |         “梨”不开你-黄果梨的精深加工助推同仁经济发展          | [86.72, 86.25, 85.22, 85.15, 84.17] |    85.5   |          红旅         |  84.4178417791512 |  76/119 |
|      |      Super香香米——基于天然植物精油的即食米饭保鲜新技术       |  [86.8, 86.67, 83.65, 80.11, 78.91] |   83.23   |     本科生 创意1组    | 84.32453547761939 |  77/119 |
|      |                “探索先锋”——陆空两栖搜救机器人                |  [86.0, 84.37, 84.08, 82.36, 78.55] |   83.07   |     本科生 创意2组    | 84.21906844585675 |  78/119 |
|      |              军体融合——红色教育助力绿色乡村振兴              | [88.72, 86.32, 86.21, 83.78, 81.34] |   85.27   |          红旅         | 84.19075284804939 |  79/119 |
|      |           "多维空间"--用光电技术改变信息存储的格局           |  [86.11, 84.32, 83.17, 81.17, 80.7] |   83.09   |     本科生 创意1组    |  84.1826943750498 |  80/119 |
|      |         MSE增材前驱—增材制造大尺度连续梯度高强铝合金         |  [85.78, 83.2, 82.22, 82.13, 82.11] |   83.09   |     本科生 创意1组    |  84.1826943750498 |  81/119 |
|      |                     助力出行——智安爬行椅                     |  [88.0, 83.45, 82.55, 80.67, 80.36] |   83.01   |     本科生 创意2组    | 84.15823849392764 |  82/119 |
|      |                 “援”来—空中应急救援的引领者                  |  [85.3, 84.11, 82.63, 82.55, 80.14] |   82.95   |     本科生 创意1组    | 84.04085327248022 |  83/119 |
|      |           星火燎原——中国城乡儿童军事营地教育先行者           | [90.14, 89.95, 83.58, 81.67, 80.19] |   85.11   |          红旅         | 84.03277793945684 |  84/119 |
|      |               水产C.A智能养殖船与数值分析平台                |  [86.11, 83.63, 82.1, 81.56, 81.31] |   82.94   |     本科生 创意1组    | 84.03072176515381 |  85/119 |
|      |    “智慧空间站”云课堂——从教育扶贫引领者奔向乡村振兴奋进者    | [86.97, 86.94, 84.78, 84.55, 82.23] |   85.09   |          红旅         | 84.01303107588275 |  86/119 |
|      |             ApplyOffer——数字化校园精准就业赋能者             |  [87.8, 83.11, 82.88, 82.11, 77.36] |   82.65   |     本科生 创意1组    | 83.73690805268825 |  87/119 |
|      |    ICHU智能急救箱——搭载院外自救互救平台的院外急救体系构建    |  [85.91, 83.11, 82.1, 82.02, 80.01] |   82.63   |     本科生 创意1组    | 83.71664503803544 |  88/119 |
|      |                         慈慧唐卡艺术                         | [86.91, 85.78, 85.68, 84.92, 80.62] |   84.78   |          红旅         | 83.70695469048466 |  89/119 |
|      |               ”攀登者“--攀爬式高空作业机体平台               |  [86.11, 85.12, 82.1, 80.07, 79.27] |   82.53   |     本科生 创意1组    | 83.61532996477146 |  90/119 |
|      |                  智能模块化胶囊内窥镜机器人                  |  [84.36, 84.31, 83.91, 82.55, 77.0] |   82.43   |     本科生 创意2组    | 83.57021562527954 |  91/119 |
|      |                 护康科技——双臂护理移乘机器人                 |  [84.5, 84.25, 83.12, 80.33, 80.11] |   82.46   |     本科生 创意1组    | 83.54440941348666 |  92/119 |
|      |         MindCo脑电捕捉--无线可穿戴脑机接口设备先行者         |  [85.14, 83.18, 82.01, 82.0, 79.55] |   82.38   |     本科生 创意2组    | 83.51952399867194 |  93/119 |
